VOC_ID,담당 부서,사업 부문,VOC유형,VOC상세유형,등록채널 유형,발생원인 유형,발생지 유형,처리기한 - 시/분,처리기한 - 일시,발생일시,등록일시,접수일시,배분일시,처리일시,직영/협력업체,VOC등급(4단계),처리결과유형,복합VOC의 부모 VOC_ID,복합VOC FLAG,승인 사용유무,고객이 만족도 직접 회신여부,"즉답처리 (I:등록, R:접수, N:일반)",질문내용,답변내용,개선관리ID,개선관리상태,사후처리유형,처리시간(시:분),준수 여부,유형변경신청,유형변경사유,요약내용
VOCS0000516958,리조트 MD그룹 운영지원,리조트        ,고객요구유형-제안사항,,직접 VOC-모바일앱(APP),품질-상품품질-상품 종류,주토피아-(공연/전시)판다월드,48.0,20240512 174948,20240509 000000,20240509 174948,20240509 182748,20240510 184747,20240510 185616,직영업체,해당없음,불채택,VOCS0000516951,Sub,,,N,"안녕하세요저는 에버랜드에 있는 판다가족들을 좋아하는 사람입니다. 특히 푸바오나 후이바오, 루이바오 같은 어린 팬더들을 꼭 안아보고 싶은 소망이 있습니다ㅎㅎ 그래서 사육사 선생님들의 의견을 수렴해서 아기팬더의 100일이나 300일 정도의 실제 크기와 무게, 털 느낌을 최대한 비슷하게 재현한 인형이 있으면 어떨까제안합니다. 팬더를 안아보는 느낌을 사육사님들뿐만 아니라 모든 사람들이 비슷하게나마 느껴볼 수 있도록 아기 팬더와 비슷한 재질과 크기의 인형이 있으면 정말 좋겠어요. 상품 검토를 부탁드립니다 감사합니다^^","안녕하세요,판다 굿즈에 대한 사랑과 관심 감사드립니다전해주신 의견은 상품개발 담당 PD에게 전달하여추후 상품 기획/개발 시 참고토록 하였습니다.소중한 의견 전해주심에 다시 한 번 감사드리며앞으로로 지속적인 관심과 사랑 부탁 드립니다.고맙습니다.",,,,25:6,준수,N,,"요약:

1. 에버랜드에 있는 팬더 가족을 좋아하는 사람이 작성한 제안입니다.
2. 특히 어린 팬더들(푸바오, 후이바오, 루이바오)을 안아보고 싶어 합니다.
3. 아기 팬더의 실제 크기와 무게, 털 느낌을 최대한 비슷하게 재현한 인형 제작을 제안합니다.
4. 이를 통해 사육사뿐만 아니라 모든 사람들이 팬더를 안아보는 느낌을 비슷하게 경험할 수 있을 것 같습니다.
5. 상품 검토를 부탁드립니다."
VOCS0000516952,리조트 파크서비스그룹 어트랙션A,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,유러피언어드벤처-(어트랙션)로얄쥬빌리캐로셀,48.0,20240512 175346,20240509 000000,20240509 175346,20240509 180406,20240510 131625,20240510 192406,직영업체,해당없음,격려,,일반,N,,N,이름은 못 봤습니다만밝고 명랑한 목소리가 무척 인상 깊었습니다.힘들텐데 몇회가 지나도 그 목소리 그대로 고객을 회전목마로 맞이하고 보냈습니다.에버랜드에 이런 훌륭한 분들이 많았으면 좋겠습니다.칭찬 받는 직원분들인센티브 더 주세요~,김민서cast칭찬 및 격려하겠습니다.고맙습니다.,,,,25:30,준수,N,,"요약:

1. 밝고 명랑한 목소리의 직원이 인상 깊었음
2. 힘든 상황 속에서도 고객을 친절하게 대했음
3. 에버랜드에 이런 훌륭한 직원들이 많았으면 좋겠음
4. 칭찬 받는 직원들에게 더 많은 인센티브를 주어야 함"
VOCS0000516955,리조트 파크서비스그룹 어트랙션B,리조트        ,고객요구유형-개선요청,,간접 VOC-콜센터,기타-기타-기타,주토피아-(어트랙션)아마존익스프레스,48.0,20240513 090000,20240509 000000,20240509 180509,20240512 145052, ,20240512 145052,,3등급,즉시처리(접수시),,일반,Y,,R,-아마존 익스프레스 내에 손님의 휴대폰 번호가 적혀있어 장난 전화가 많이 온다고 하심-삭제요청 하심,"안녕하십니까,  어트랙션B ***입니다.금일 기종 오픈 전 해당 손님 전화번호 확인 후 낙서제거 완료하였습니다.",,,,68:45,준수,,,"요약:

- 아마존 익스프레스 내에 고객의 휴대폰 번호가 노출되어 있어 불편을 겪고 계심
- 고객의 개인정보 보호를 위해 해당 정보 삭제를 요청하셨음"
VOCS0000516960,리조트 Facility기술그룹 FM1,리조트        ,고객요구유형-개선요청,,직접 VOC-모바일앱(APP),위생 및 안전-안전-안전관리,주토피아-(체험)랩터레인저,48.0,20240513 090000,20240509 000000,20240509 181208,20240512 104856,20240516 083341,20240517 074742,직영업체,3등급,처리완료(종결),VOCS0000516957,Sub,,,,분전함개방되어 위험해요Lp-1-pqnel 시건불량Lp-8-pqnel 시건장치 고장,렙터레인저 내부에 있는 조작함 시건장치 고장조작함 시건장치 조치 완료 되었습니다.추후 이와 비슷한 건 발생시는 엔터테인먼트그룹으로 배정 부탁드립니다.감사합니다.,,,,181:35,미준수,N,,"요약:

1. 분전함 관련 문제:
   - 분전함이 개방되어 위험한 상황 (Lp-1-pqnel)
   - 시건 장치가 불량하여 고장 상태 (Lp-8-pqnel)

2. 주요 문제점:
   - 분전함 개방으로 인한 위험성
   - 시건 장치 고장으로 인한 보안 문제"
VOCS0000516959,리조트 파크서비스그룹 어트랙션B,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(어트랙션)사파리월드,48.0,20240513 090000,20240509 000000,20240509 183307,20240509 190701,20240510 131708,20240510 145255,직영업체,해당없음,격려,,일반,N,,N,사파리를 친절히 소개해주신 분감사드립니다!,VOC공유 및 근무자 격려,,,,20:19,준수,N,,"사파리는 아프리카의 대표적인 자연 체험 여행으로, 다음과 같은 특징이 있습니다:

1. 야생동물 관찰: 사파리를 통해 다양한 야생동물들을 가까이에서 관찰할 수 있습니다. 코끼리, 사자, 기린, 얼룩말 등을 볼 수 있습니다.

2. 자연 풍경 감상: 사파리는 아프리카의 아름다운 자연 풍경을 감상할 수 있는 기회를 제공합니다. 초원, 사막, 숲 등 다양한 지형을 경험할 수 있습니다.

3. 문화 체험: 사파리를 통해 아프리카 토착민들의 삶과 문화를 경험할 수 있습니다. 부족 마을 방문 등을 통해 현지 문화를 이해할 수 있습니다.

4. 모험과 휴식: 사파리는 자연 속에서의 모험과 여유로운 휴식을 제공합니다. 캠핑, 트레킹 등의 활동을 통해 모험을 즐길 수 있습니다.

사파리는 아프리카 여행의 필수 코스로 자연과 문화를 함께 경험할 수 있는 최고의 여행 방식입니다."
VOCS0000516961,리조트 F&B그룹 운영1,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,품질-음식품질-음식 맛 ,유러피언어드벤처-(식당)쿠치나마리오,48.0,20240513 090000,20240509 000000,20240509 185517,20240509 190732,20240510 092032,20240510 092440,직영업체,해당없음,격려,,일반,N,,N,"쿠치나 마리오서빙해주시는 분들도, 오늘 먹은 음식도 제가 에버랜드 내에서 먹었던 식사중에 최고였어요.앞으로도 이 퀄리티랑 서비스 유지해주세요:)",관련 내용 공유 및 소정의 격려품 지급,,,,14:29,준수,N,,"요약:

1. 에버랜드에서 먹었던 식사 중 가장 좋았음
2. 음식의 퀄리티와 서비스 수준이 매우 좋았음
3. 앞으로도 이런 수준의 퀄리티와 서비스가 유지되기를 기원함"
VOCS0000516966,리조트 Facility기술그룹 기술지원,리조트        ,고객요구유형-제안사항,,직접 VOC-모바일앱(APP),기타-기타-기타,분류불가-발생지정보없음,48.0,20240513 090000,20240506 000000,20240509 190136,20240509 192901,20240516 084124,20240516 084231,직영업체,해당없음,채택(완료),VOCS0000516962,Sub,,,N,안녕하세요분수대앞 바닥에 핑크색원이 그려져있습니다맨홀이 열리고 닫히면서 그림이 맞지 않게 되어있습니다. 방문객들의 사진속에 남을 풍경인만큼 작은것도 이쁘게 되어있었으면 합니다.수고하세요,맨홀 위치를 조정하여 그림이 맞도록 조정하겠습니다.,,,,157:40,미준수,N,,"요약:

1. 안녕하세요. 분수대 앞 바닥에 핑크색 원이 그려져 있습니다.
2. 맨홀이 열리고 닫히면서 그림이 맞지 않게 되어 있습니다.
3. 방문객들의 사진 속에 남을 풍경인만큼 작은 것도 예쁘게 되어 있었으면 합니다.

핵심 내용:
- 분수대 앞 바닥의 핑크색 원 그림이 맨홀 때문에 제대로 되어 있지 않음
- 방문객들의 사진에 담길 수 있는 풍경이므로 작은 것도 예쁘게 관리되었으면 함"
VOCS0000516963,리조트 주토피아운영그룹 동물보전1,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(공연/전시)판다월드,48.0,20240513 090000,20240509 000000,20240509 191140,20240509 192352,20240510 085528,20240510 111028,직영업체,해당없음,격려,,일반,N,,N,우리  바오식구들  건강하게 예쁘게 챙겨주셔서  감사합니다판다윌드  모든식구분들  항상 웃는얼굴로 맞아주시고힘드실텐데  판다월드 주변정리까지 정말 대단하세요지치고 피곤하고 힘들때 판다월드가면 힘이생기고 기분이 좋아요^^또 올께요？？？？？？？？,칭찬 감사합니다.공유하고 격려하겠습니다.고맙습니다.,,,,15:58,준수,N,,"요약:

1. 바오식구들이 건강하고 예쁘게 잘 챙겨주셔서 감사합니다.
2. 판다월드의 모든 식구분들이 항상 웃는 얼굴로 맞아주셔서 대단합니다.
3. 판다월드 주변 정리까지 해주셔서 정말 감사합니다.
4. 힘들고 지칠 때 판다월드에 가면 힘이 생기고 기분이 좋아집니다.
5. 다시 또 판다월드에 가겠다는 기대감이 드러납니다."
VOCS0000516964,리조트 파크서비스그룹 손님상담실,리조트        ,고객요구유형-제안사항,개선성,직접 VOC-모바일앱(APP),이용안내-이용정보제공-이용정보제공 기타(주변 교통상황),기타-기타,48.0,20240513 090000,20240505 000000,20240509 191359,20240509 201705, ,20240509 201705,,해당없음,기 시행/검토,,일반,Y,,R,1. 5월 5일 바오하우스 한정 배지는 일부 한꺼번에 대량 가져가는 사람으로 인해 일부러 오픈런까지 갔지만 입장 예약했는데도 불구하고 받지 못했음 2. 오픈해서 한꺼번에 접속해서 클릭이 되지 않아 직원한테 몇번이나 질문하면서 했음 그사이에 배지 때문에 온 사람들이 다 예약해서 오전예약 못함 이것은 현재 다량으로 무료로 가져간 일부 사람들이 몇십만원에 되팔리고 있어서 이것은 반드시 에버랜드에서 확인해야 할 필요성이 있음[앞으로도 참고해야]3. 비오는날 문닫은 놀이기구가 많아서 충분히 자유이용권의 역할을 못함 /결론- 다른날도 아니고 어린이날인데 1.2.3번이 하나도 해결이 안되었습니다 너무하다는 생각과 속상한 마음에 민원 제기를 합니다 불공평했다고 생각합니다  할인권이나/대체상품/포인트 등으로 보상해야 된다고,"안녕하십니까,에버랜드 리조트입니다.먼저, 바오하우스 배지 지급과 우천으로 인해속상한 마음으로 귀가하신 점 안타깝고 죄송합니다.스마트 줄서기는 모바일을 통한 가상 줄서기로앱에 등록된 이용권 QR 수량이 곧 가상의 사람 숫자이기에이용권 QR 1개당 배지 1개로 지급 기준을 정했으며,당일 불가피한 사유로동반인이 방문하지 못했다는손님이 계셔서 담당자의 판단으로예약된 QR 인원으로배지를 지급한 사실을 있었으나대다수 손님들은1인 1 QR로 예약한 손님이었습니다.1인이 다수의 이용권을 구매하는 비정상적인 행동을예측하기는 어려움이 있었으며, 이번 행사를 계기로확실하게 인지한 만큼 추후에는 비정상적인 방법으로증정품을 취득하는 일이 없도록 하겠습니다.그리고 당일 우천으로 인해 대기 중인 시설이 많았던 점에대해서는 안타깝고 죄송스러운 마음입니다만,기상청의 비 예보가 있었고, 기상 악화 시 운행 중단은손님의 안전을 위한불가피한 조치인 만큼별도의 보상은어려운 점 말씀드립니다.고맙습니다.",,,,1:3,준수,,,"요약:

1. 바오하우스 한정 배지 구매 관련 문제점
- 일부 사람들이 대량으로 구매해 되팔아 문제가 되고 있음
- 오픈런에 갔지만 예약했음에도 불구하고 배지를 받지 못함

2. 배지 구매 시 시스템 문제
- 오픈 시 접속이 원활하지 않아 직원에게 여러 번 문의했으나 결국 오전 예약을 하지 못함
- 이로 인해 배지를 구매하러 온 사람들이 모두 예약을 할 수 없었음

3. 날씨로 인한 놀이기구 운영 문제
- 비 오는 날 많은 놀이기구가 운영되지 않아 자유이용권의 가치가 충분히 발휘되지 못함

종합적으로, 바오하우스 배지 구매, 시스템 문제, 날씨로 인한 놀이기구 운영 등 여러 가지 불편사항이 있었으며, 이에 대한 보상이 필요하다고 제기하고 있습니다."
VOCS0000516965,리조트 파크서비스그룹 어트랙션B,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(어트랙션)아마존익스프레스,48.0,20240513 090000,20240509 000000,20240509 192653,20240509 192930,20240510 131717,20240512 084747,직영업체,해당없음,격려,,일반,N,,N,아마존 직원 친절하고 노래도  잘 불러요,근무자 격려 및 VOC 내용 공유,,,,61:20,준수,N,,"요약:

1. 아마존 직원들의 친절한 태도
2. 아마존 직원들의 노래 실력"
VOCS0000516967,리조트 주토피아기획그룹 보전/교육,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(동물원)체험학습교육장,48.0,20240513 090000,20240509 000000,20240509 194348,20240509 194907,20240510 095608,20240510 100212,직영업체,해당없음,전파,,일반,N,,N,아이와 단둘이 추억을 만들고 싶어 방문한 에버랜드에서 너무 잘 웃어주시고 친절하고  재밌게 수업도 진행해주신 *** *** 쌤들 넘 감사했습니다 덕분에 오늘하루  아이와 잊지못할 추억을 만들었어요감사합니다^^,근무자 격려 및 전파,,,,14:18,준수,N,,"요약:

- 에버랜드를 방문하여 아이와 추억을 만들고자 했음
- *** *** 쌤들이 매우 친절하고 재미있게 수업을 진행해줌
- 쌤들의 도움으로 아이와 잊지 못할 추억을 만들었음
- 전반적으로 쌤들의 친절과 열정에 대한 감사 표현"
VOCS0000516973,리조트 파크서비스그룹 그리팅,리조트        ,고객요구유형-개선요청,,직접 VOC-모바일앱(APP),이용안내-이용정보제공-이용정보제공 기타(주변 교통상황),기타-기타,48.0,20240513 090000,20240509 000000,20240509 194747,20240509 202915,20240510 131506,20240513 165942,직영업체,3등급,처리완료(종결),VOCS0000516968,Sub,,,,"5월 9일 에버랜드 방문해서 오후 2시경충전돼지 보조배터리 대여를 했고5,000m 짜리를 빌렸는데3700m 스마트폰 80% 충전하니보조배터리가 방전이 되더군요충전돼지 고객센터에 문의하니원래 보조배터리 70% 만 충전되어있어도 대여나간다고 하더군요일단 위에 70%만 되도 대여나간다는안내는 어디에도 없었고그것마저도 이상한게 5000짜리 70%면3500인데 3700짜리 80%면 2960이고정상 성능이 안되는 70% 층전된 배터리대여해주고 고객센터 문의하니 정상이라고하네요오늘 날씨도 좋고 정말 좋은 기억이 많았는데진짜 별일도 아닌 보조배터리 때문에에버랜드 방문 망친 하루였네요에버랜드 담당부서 있을것 같은데배터리 성능이랑 고객에게 불리한내용 안내도 좀 하셔야 될것 같습니다","- 보조배터리 잔여 충전량 인식 불량 및 안내 미흡- 보조배터리 대여 時 내부적으로 충전이 완료된 배터리만 분출 가능토록 세팅되어 있음- 기기상 충전 잔량 확인 오류로 분출된 내용으로, 70%만 충전되어 나간다는 것은업체 콜센터측 오안내.- 충전 기기 및 배터리 분출 관련 모니터링 및 노후 배터리 교체 요청- 업체 콜센터 오안내 방지 요청 (`24. 5.13)",,,,93:11,미준수,N,,"요약:

1. 5월 9일 에버랜드를 방문했고, 오후 2시경 충전돼지 보조배터리 5,000mAh 용량을 대여했다.
2. 스마트폰을 80% 충전하는데 보조배터리가 방전되었다.
3. 충전돼지 고객센터에 문의했더니, 원래 보조배터리가 70% 충전 상태로 대여된다고 했다.
4. 하지만 이런 사실이 안내되어 있지 않았고, 5,000mAh 배터리의 70%는 3,500mAh인데 실제로는 2,960mAh만 사용 가능했다.
5. 에버랜드 방문이 좋은 기억이었지만, 보조배터리 문제로 인해 방문이 망쳐졌다.
6. 에버랜드 담당부서에서 보조배터리 성능과 관련된 정보를 고객에게 더 잘 알려줘야 할 것 같다."
VOCS0000516969,리조트 주토피아운영그룹 로스트밸리,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(어트랙션)로스트밸리,48.0,20240513 090000,20240509 000000,20240509 195439,20240509 203821,20240510 085546,20240512 160338,직영업체,해당없음,격려,,일반,N,,N,"5월달에만 벌써 4번을 방문했습니다. 방문 할 때마다 동물을 좋아하는 아들 덕에 로스트밸리,사파리는 꼭 보고있어요.매번 다른 탐험대장님들도 설명을 잘 해주셔서 하나씩 배워가는 재미가 있었는데 오늘 뵙게 된 *** 탐험대장님의 설명은 특히나 엄마인 제가 너무 재밌게 들었습니다. 바바리양의 개인기도 오늘 처음 봤어요!？？오늘따라 지쳐서 사람들과 조금 떨어져 뒤에 앉았는데 저희 아들을 위해 기린 밥 줄때도 뒷쪽까지 신경써주셔서 정말 코앞에서 기린을 보았습니다. 동물 설명도 몰랐던 부분을 많이 들어 정말 재밌었어요.매번 보는 로스트밸리지만 오늘은 정말 재밌고 유익한 시간이라 웃다보니 조금이나마 육아 스트레스도 풀리는 기분입니다.고맙습니다.",소중한 의견 감사 드립니다.근무자 칭찬하고 격려 하겠습니다.,,,,68:8,준수,N,,"요약:

1. 5월 동안 4번 방문했으며, 아들이 좋아하는 동물들을 관찰하고 있다.

2. 매번 다른 탐험대장들의 설명을 들으며 새로운 것을 배우는 재미가 있었다.

3. 오늘 만난 *** 탐험대장님의 설명이 특히 재미있었고, 바바리양의 개인기를 처음 보았다.

4. 지친 상태에서 뒤에 앉았지만, 탐험대장님이 아들을 위해 기린 먹이 주는 것까지 신경 써주셨다.

5. 동물에 대한 새로운 정보를 많이 얻어 재미있었고, 육아 스트레스도 풀렸다.

6. 전반적으로 매번 방문하는 로스트밸리 투어가 재미있고 유익한 시간이었다."
VOCS0000516970,리조트 파크서비스그룹 어트랙션A,리조트        ,고객요구유형-칭찬격려,,직접 VOC-모바일앱(APP),인적서비스-업무처리-응대스킬,매직랜드-(어트랙션)자동차왕국,48.0,20240513 090000,20240509 000000,20240509 201956,20240509 203945,20240510 131742,20240510 132645,직영업체,해당없음,전파,,일반,N,,N,"5/9(목) 오전10시30분~11시30분30개월 아기 데리고는 처음 방문하는거라 유아놀이기구 이용 방법을 몰랐는데직원분들이 너무 친절하게 이용방법을 알려주셔서 편하게 이용할 수 있었어요!특히 ***님(?) 선글라스 끼신분은 말안통하는 아이들에게도 친절하셨고 ㅎㅎ아이들과 함께 방문한 저희를 보시고시간별로 코스 추천까지 해주셨어요!!섬세하게 가장 더운시간에 체험하면 좋은 실내코스도 알려주셔서더욱더 알차게 놀고온것 같아요.어린 아이들 상대하는 놀이기구라 더 힘드실텐데아이들에게도 보호자에게도 너무 친절하신 직원분들 덕분에좋은 추억 만들고 왔어요^^자동차왕국/시크릿쥬쥬 직원분들, ***직원님 너무 감사했습니다 ~^^",해당 캐스트 칭찬격려하겠습니다.,,,,17:6,준수,N,,"요약:

1. 30개월 아기와 처음 방문했지만, 직원들이 친절하게 이용 방법을 알려줘 편하게 즐길 수 있었음.
2. 특히 선글라스를 착용한 직원은 말이 통하지 않는 아이들에게도 친절했고, 시간별 코스 추천까지 해주었음.
3. 더운 시간에 좋은 실내 코스를 알려줘서 알차게 놀고 올 수 있었음.
4. 어린 아이들과 보호자를 상대하느라 힘들 것 같지만, 직원들이 친절하게 대해줘서 좋은 추억을 만들고 왔음.
5. 자동차왕국/시크릿쥬쥬 직원들, 특히 ***직원님께 감사했다고 언급함."
VOCS0000516974,리조트 F&B그룹 운영3,리조트        ,고객요구유형-개선요청,,직접 VOC-모바일앱(APP),위생 및 안전-위생/청결-청결관리 ,아메리칸어드벤처-(식당)KFC 구)스타라이트,48.0,20240513 090000,20240509 000000,20240509 202023,20240509 203304,20240510 092045,20240511 135342,협력업체,3등급,처리완료(종결),VOCS0000516971,Sub,,,,쓰레기통 뒷면 창틀라인에 먼지가 수북합니다. 미관상 보기 좋지 않네요.장소: 롤링엑스트레인 앞 KFC환경 개선 해주시길 바랍니다.감사합니다.,□ 발생 원인-쓰레기통 칸막이가 높아 뒤가 잘 보이지 않아 청소가 누락됨.□ 조치 상황-5/10일 마감 후 청소 실시-근무자들 마감 청소시 청소 할 수 있도록 교육 실시 완료- DAILY CLEANING PLAN쓰레기통 뒤 창틀 항목 추가하여 누락 방지,,,,41:33,준수,N,,"요약:
- 쓰레기통 뒷면 창틀라인에 먼지가 수북하게 쌓여있어 미관상 좋지 않음
- 장소: 롤링엑스트레인 앞 KFC
- 환경 개선이 필요함"
VOCS0000516977,리조트 주토피아운영그룹 동물보전1,리조트        ,고객요구유형-칭찬격려,,직접 VOC-모바일앱(APP),인적서비스-업무처리-응대스킬,주토피아-(공연/전시)판다월드,48.0,20240513 090000,20240507 000000,20240509 213737,20240509 223330,20240510 085602,20240510 111117,직영업체,해당없음,격려,,일반,N,,N,판다월드에 계신 *** 캐스트님 칭찬합니다바오가족들 보러오는 사람들이 많아서 힘드실텐데도 항상 친절하게 응대해주셔서 감사합니다글재주가 없어서 짧게 남기지만 고마운 마음이 잘 전달됐으면 좋겠네요^^,칭찬 감사합니다.공유하고 격려하겠습니다.고맙습니다.,,,,13:33,준수,N,,"요약:

- 판다월드의 *** 캐스트님을 칭찬
- 많은 방문객들로 인해 힘들 텐데도 항상 친절하게 응대해주셔서 감사
- 글재주가 부족해 짧게 남기지만, 고마운 마음이 잘 전달되기를 희망"
VOCS0000516980,리조트 엔터테인먼트그룹 공연기획,리조트        ,고객요구유형-제안사항,,직접 VOC-모바일앱(APP),품질-컨텐츠 및 공연 품질-공연 흥미/다양성,유러피언어드벤처-(공연/전시)포시즌스가든,48.0,20240513 090000,20240509 000000,20240509 221425,20240509 223248,20240510 100220,20240513 100553,직영업체,해당없음,기 시행/검토,VOCS0000516978,Sub,,,N,안녕하세요 저는 자연 농원 시절 때부터 에버랜드를 다닌 사람으로서 이번 주크 박스 공연을 보고 너무 실망해서 고객의 소리를 남깁니다. 저번 에버토피아 때도 공연이 별로였지만 나름 멀티버스라는 신선한 세계관을 사용해서 새로운 시도를 해보았다는 점에서 넘어갔지만 이번 주크박스 공연은 정말 제가 지금까지 보았던 불꽃놀이 공연 중에 가장 별로였습니다. 화질도 몇년도에 찍었는지 모르는 구린 화질과 어떤 기준으로 선정했는지 모르겠는 나라 음악들과 갑자기 튀어나온 동요들로 인해서 정말 너무나도 당황스러웠습니다. 앞에 외국인 관광객이랑 공연을 같이 봤는데 솔직히 정말 창피했습니다. 과거에 피닉스와 용이 있던 그 때의 시절이 정말 그립습니다. 저의 피닉스를 돌려주시고 그나마 남아있는 제 동심을 그만 부셔주세요..,"손님께서 에버랜드 공연에 관심을 가져주신 점에 대해 감사드립니다.이번 주크박스 멀티미디어쇼는 내부 정책에 따라 운영되고 있습니다.손님께서 조금 아쉬운 부분이 있다면 양해를 부탁드리며,차후 공연 개발시, 다양한 손님들의 니즈에 부합할 수 있도록 노력하겠습니다.고맙습니다.",,,,83:51,미준수,N,,"요약:

1. 에버랜드의 최근 주크박스 공연에 대한 실망감 표현
   - 과거 에버토피아 공연도 별로였지만 새로운 시도를 했다는 점에서 용서했음
   - 하지만 이번 주크박스 공연은 이전 불꽃놀이 공연 중 가장 별로였음

2. 공연의 문제점
   - 화질이 구림
   - 선정된 나라 음악과 동요들이 어색함
   - 외국인 관광객 앞에서 공연을 보며 창피했음

3. 과거 에버랜드 공연에 대한 향수
   - 피닉스와 용이 있던 시절이 그립다고 표현
   - 과거의 동심을 다시 찾고 싶어 함"
VOCS0000516979,리조트 파크서비스그룹 어트랙션A,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,아메리칸어드벤처-(어트랙션)허리케인,48.0,20240513 090000,20240509 000000,20240509 221700,20240509 223357,20240510 131752,20240510 134153,직영업체,해당없음,격려,,일반,N,,N,그 사람 ***은 흥이 넘치셨다.우리의 기분과 사람들과 행복과 추억이 된다.허리케인 직원들은 퇴근 할때와 출근 할때도 많이 힘들어 하는 모습이 많이 보였다.직원들이 힘들어 해도 우리에게 재미를 주는 것도 감사하다나는 힘들어 하면 ***님이 떠오르면 재밌다.그 게스트분들을 만나면 인사를 하고 싶지만 자신이 없다^^목이 쉬었을때도 열심히 하는 모습이 대단하시다.,해당근무자 격려하겠습니다.,,,,15:24,준수,N,,"요약:

1. ***은 흥이 넘치는 성격으로, 직원들과 게스트들에게 즐거움과 행복을 주는 역할을 한다.

2. 직원들은 출퇴근 시 힘들어하는 모습이 많이 보였지만, 그럼에도 불구하고 직원들이 열심히 일하며 게스트들에게 재미를 주는 모습에 대해 감사한 마음을 가지고 있다.

3. 화자는 힘들 때마다 ***을 떠올리며 재미를 느낀다.

4. 화자는 게스트들을 만나고 싶어 하지만, 자신감이 부족한 모습을 보인다.

5. ***의 열정적이고 노력하는 모습이 대단하다고 평가된다."
VOCS0000516981,리조트 MD그룹 운영지원,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(어트랙션)로스트밸리,48.0,20240513 090000,20240509 000000,20240509 230555,20240510 132436,20240510 184800,20240510 190037,협력업체,해당없음,격려,,일반,N,,N,"5월 1일 로스트밸리 방문했었는데, 사람도 정말 많고 정신 없는 와중에 로스트 밸리에 근무하신 *** 캐스트님이 친절하게 사진 찍어주시고 안내해주셨어요~!",메일 및 이캐비넷 게시를 통한 사례공유 및 격려,,,,19:54,준수,N,,"요약:

- 5월 1일 로스트밸리 방문
- 사람이 많아 정신없는 상황
- *** 캐스트님이 친절하게 사진 촬영 및 안내 제공"
